SECTIONS,IDS
SEC-01,[2200032251; 2200030535; 2200030561; 2200031896; 2200032246; 2200032645; 2200032408; 2200031387; 2200032124; 2200040013; 2200030795; 2200031720; 2200030536; 2200032759; 2200030320; 2200032642; 2200030398; 2200031339; 2200031304; 2200030285; 2200032483; 2200031737; 2200030138; 2200080064; 2200080023; 2200031671; 2200080077; 2200080166; 2200030316; 2200040056; 2200080042; 2200080136; 2200030955; 2200080020; 2200080035; 2200080057; 2200080083; 2200069024; 2200069026; 2200049063; 2200069050; 2200069053; 2200069063; 2200049057; 2200049111; 2200049115; 2200049170; 2200069010; 2200049191; 2200049112; 2200049113; 2200040114; 2200049077; 2200049136; 2200049017; 2200040103; 2200049030; 2200040277; 2200069075; 2200049052; 2200030430; 2200080059; 2200080060; 2200080107; 2200080177; 2200080229; 2200090118; 2200049066; 2200031840; 2200032547; 2200040206; 2200032431; 2200079024; 2200079026; 2200032220; 2200080231; 2200089028; 2200049003; 2200049004; 2200050051; 2200030408; 2200032584; 2200030201; 2200030294; 2200079007; 2200040176; 2200049197; 2200030801; 2200080007; 2200080068; 2200049024; 2200049025; 2200029004; 2200032219; 2200031997; 2200080033; 2200080100; 2200080216; 2200039159; 2200040184; 2200049074; 2200079041; 2200080022; 2200080080; 2200080096; 2200040257; 2200030370; 2200032326; 2200032327; 2200049130; 2200049153; 2200090256; 2200030966; 2200070013]
SEC-02,[2200080004; 2200089020; 2200089015; 2200080024; 2200080047; 2200080147; 2200080012; 2200080135; 2200080097; 2200080179; 2200030660; 2200032940; 2200031338; 2200033120; 2200033249; 2200030739; 2200030831; 2200031586; 2200030247; 2200033047; 2200031955; 2200032362; 2200031072; 2200032110; 2200032004; 2200030252; 2200031514; 2200030241; 2200031034; 2200030860; 2200032536; 2200030213; 2200032874; 2200032096; 2200032529; 2200031860; 2200030070; 2200030245; 2200030330; 2200032797; 2200030849; 2200030994; 2200031059; 2200031101; 2200030534; 2200032484; 2200030712; 2200031646; 2200030852; 2200032781; 2200032790; 2200030035; 2200030207; 2200030436; 2200032422; 2200030822; 2200030189; 2200030558; 2200030593; 2200030704; 2200031007; 2200031110; 2200030559; 2200031847; 2200031861; 2200031862; 2200032573; 2200030019; 2200031571; 2200032072; 2200032138; 2200030254; 2200031865; 2200032392; 2200032051; 2200030395; 2200031240; 2200031433; 2200032932; 2200030738; 2200032438; 2200032918; 2200030823; 2200032255; 2200030675; 2200031027; 2200031200; 2200031348; 2200030039; 2200030648; 2200031888; 2200033123; 2200032212; 2200032274; 2200032254; 2200033079; 2200030343; 2200032740; 2200032357; 2200032316; 2200032340; 2200032690; 2200032417; 2200031687; 2200031795; 2200033208; 2200031521; 2200032991; 2200039035; 2200030607; 2200031404; 2200031408; 2200031023; 2200031179; 2200031223; 2200031834; 2200031672; 2200032793; 2200039020; 2200032559; 2200032578; 2200030227; 2200030262; 2200030304; 2200032169; 2200032217; 2200032328; 2200031189; 2200032872; 2200032967; 2200033148; 2200030401; 2200032347; 2200032165; 2200032620; 2200032714; 2200032936; 2200030894; 2200090241; 2200090111; 2200090197; 2200090142; 2200090150; 2200090156; 2200090067; 2200090109; 2200090038; 2200090158; 2200090228; 2200090160; 2200090222; 2200099012; 2200090205; 2200040069; 2200049097; 2200040094; 2200040099; 2200049172; 2200040366; 2200049078; 2200040120; 2200040131; 2200040189; 2200040259; 2200049020; 2200040036; 2200049013; 2200040324; 2200040139; 2200049007; 2200040081; 2200040007; 2200069058; 2200069014; 2200100035; 2200100044; 2200100057; 2200050035; 2200100040; 2200100072; 2200039134; 2200049085]
SEC-03,[2200080103; 2200080261; 2200080115; 2200080129; 2200080048; 2200080102; 2200080120; 2200080217; 2200080113; 2200080114; 2200080099; 2200080218; 2200080219; 2200080078; 2200080211; 2200080087; 2200080197; 2200080152; 2200080196; 2200080009; 2200080016; 2200080065; 2200080188; 2200080204; 2200080013; 2200080051; 2200080056; 2200080058; 2200080069; 2200080082; 2200080169; 2200080232; 2200080238; 2200080088; 2200080171; 2200080180; 2200080210; 2200080250; 2200080254; 2200089011; 2200089021; 2200080032; 2200080052; 2200080061; 2200080074; 2200080185; 2200080266; 2200089006; 2200080127; 2200080164; 2200080175; 2200080257; 2200080134; 2200080076; 2200080116; 2200080073; 2200080072; 2200080089; 2200080125; 2200080239; 2200080117; 2200080066; 2200080268; 2200080178; 2200080158; 2200032873; 2200030895; 2200031489; 2200031005; 2200030610; 2200032650; 2200031370; 2200030547; 2200030677; 2200030815; 2200030829; 2200031469; 2200033080; 2200031275; 2200032312; 2200030837; 2200031068; 2200031341; 2200033051; 2200031095; 2200031631; 2200030884; 2200032708; 2200030015; 2200031644; 2200032521; 2200031045; 2200031366; 2200030875; 2200032840; 2200033143; 2200031538; 2200031112; 2200031630; 2200030644; 2200032082; 2200031794; 2200032097; 2200030159; 2200032083; 2200032512; 2200031165; 2200030060; 2200031329; 2200030909; 2200030233; 2200031685; 2200030810; 2200031954; 2200032104; 2200031024; 2200030478; 2200031963; 2200031923; 2200030016; 2200031682; 2200031454; 2200031859; 2200032855; 2200030172; 2200030026; 2200030176; 2200030928; 2200030705; 2200030685; 2200032443; 2200030084; 2200030702; 2200031719; 2200030264; 2200032491; 2200033017; 2200032411; 2200032265; 2200030855; 2200031641; 2200032038; 2200030369; 2200030502; 2200030501; 2200030913; 2200031564; 2200032425; 2200031837; 2200031261; 2200030754; 2200032979; 2200032833; 2200031741; 2200030885; 2200031532; 2200030646; 2200030202; 2200032378; 2200030725; 2200030326; 2200030479; 2200031122; 2200030183; 2200031829; 2200031335; 2200031616; 2200030296; 2200031097; 2200030405; 2200033144; 2200031961; 2200031530; 2200031540; 2200030308]
SEC-04,[2200031790; 2200030602; 2200032734; 2200030105; 2200032058; 2200030934; 2200033015; 2200031413; 2200032823; 2200032028; 2200033122; 2200031169; 2200031100; 2200031854; 2200030385; 2200031943; 2200031479; 2200030740; 2200030557; 2200032815; 2200030626; 2200032877; 2200033013; 2200032258; 2200030805; 2200032704; 2200031841; 2200030328; 2200031594; 2200032481; 2200030570; 2200030986; 2200032819; 2200031276; 2200030454; 2200032537; 2200032470; 2200030686; 2200032380; 2200032015; 2200032563; 2200030434; 2200031259; 2200030833; 2200031293; 2200030427; 2200030449; 2200031914; 2200031831; 2200031598; 2200031799; 2200031602; 2200032160; 2200030789; 2200032784; 2200031921; 2200030762; 2200033067; 2200030935; 2200032098; 2200031579; 2200032534; 2200031989; 2200031802; 2200032361; 2200033034; 2200032190; 2200032162; 2200031845; 2200031236; 2200033077; 2200031315; 2200030384; 2200031711; 2200030061; 2200030984; 2200030222; 2200032423; 2200032696; 2200031136; 2200032339; 2200031886; 2200031423; 2200030001; 2200030490; 2200032026; 2200031346; 2200031752; 2200030851; 2200030838; 2200031442; 2200032495; 2200032739; 2200031809; 2200030721; 2200030005; 2200031693; 2200031019; 2200030817; 2200032178; 2200031628; 2200031857; 2200031357; 2200032128; 2200030700; 2200030828; 2200031458; 2200030394; 2200030123; 2200030591; 2200031913; 2200031761; 2200031910; 2200030920; 2200031099; 2200032115; 2200030759; 2200031274; 2200030464; 2200030438; 2200031012; 2200030970; 2200033189; 2200031362; 2200030290; 2200032478; 2200031219; 2200033072; 2200031150; 2200030816; 2200033191; 2200030242; 2200032114; 2200030940; 2200030971; 2200031618; 2200031706; 2200032012; 2200030098; 2200030939; 2200031510; 2200030230; 2200032014; 2200031664; 2200031939; 2200032112; 2200032789; 2200032869; 2200030573; 2200031567; 2200032437; 2200032532; 2200030567; 2200030664; 2200030932; 2200031155; 2200031748; 2200032865; 2200030187; 2200030520; 2200031391; 2200031484; 2200032068; 2200032183; 2200032473; 2200030225; 2200030364; 2200031257; 2200031491; 2200032744; 2200033001; 2200030331; 2200030682; 2200031061; 2200031427]
SEC-05,[2200030184; 2200030263; 2200030629; 2200031600; 2200031779; 2200030153; 2200030283; 2200030531; 2200030812; 2200031803; 2200032269; 2200032446; 2200032769; 2200032871; 2200030043; 2200031281; 2200031494; 2200031788; 2200032450; 2200033229; 2200030744; 2200030774; 2200032636; 2200030840; 2200032009; 2200032360; 2200030144; 2200031126; 2200031311; 2200031944; 2200032052; 2200032477; 2200033291; 2200030151; 2200031135; 2200031145; 2200033022; 2200030219; 2200030440; 2200030584; 2200032810; 2200032836; 2200030085; 2200030631; 2200031325; 2200032505; 2200030469; 2200031493; 2200032164; 2200032502; 2200032543; 2200032579; 2200032667; 2200030927; 2200031089; 2200031251; 2200031352; 2200032119; 2200032390; 2200030734; 2200030804; 2200032929; 2200032931; 2200030232; 2200030554; 2200030617; 2200031713; 2200031749; 2200031816; 2200031959; 2200030258; 2200030848; 2200033061; 2200030601; 2200032777; 2200032786; 2200030842; 2200031115; 2200031298; 2200032070; 2200030768; 2200031850; 2200032331; 2200032501; 2200030552; 2200030598; 2200031214; 2200033139; 2200030127; 2200030281; 2200031124; 2200033117; 2200032090; 2200032102; 2200033108; 2200033110; 2200033222; 2200030830; 2200030086; 2200030542; 2200030632; 2200030656; 2200032135; 2200030781; 2200031158; 2200031194; 2200032820; 2200032900; 2200032922; 2200030009; 2200031056; 2200031312; 2200030020; 2200030166; 2200031057; 2200031212; 2200032321; 2200030190; 2200031555; 2200032355; 2200030199; 2200032745; 2200030243; 2200030580; 2200032366; 2200032911; 2200031226; 2200031379; 2200031967; 2200031971; 2200030337; 2200030415; 2200031599; 2200031911; 2200030921; 2200030992; 2200030288; 2200032432; 2200032943; 2200031125; 2200031148; 2200032032; 2200030228; 2200031734; 2200031976; 2200031282; 2200030366; 2200032679; 2200032758; 2200030034; 2200032746; 2200032957; 2200030424; 2200031520; 2200032377; 2200031697; 2200031995; 2200031001; 2200032710; 2200030238; 2200032632; 2200033285; 2200030082; 2200030741; 2200032171; 2200030406; 2200031501; 2200031957; 2200033020; 2200033188; 2200030280; 2200030353; 2200033174; 2200030442; 2200030867]
SEC-06,[2200031113; 2200030191; 2200030260; 2200030619; 2200031355; 2200031889; 2200031465; 2200032330; 2200032926; 2200033002; 2200030633; 2200030051; 2200030751; 2200032067; 2200032649; 2200032418; 2200032934; 2200030651; 2200030752; 2200031467; 2200030500; 2200030691; 2200030901; 2200031343; 2200030641; 2200031218; 2200031811; 2200031848; 2200030275; 2200030487; 2200031356; 2200031942; 2200032192; 2200032633; 2200030936; 2200030968; 2200032332; 2200030048; 2200030347; 2200030653; 2200031337; 2200031548; 2200030113; 2200030193; 2200030541; 2200032093; 2200032480; 2200030361; 2200030046; 2200033153; 2200031714; 2200030006; 2200030312; 2200031709; 2200031183; 2200030655; 2200032349; 2200030717; 2200033190; 2200030099; 2200031791; 2200032596; 2200031131; 2200032599; 2200030784; 2200031445; 2200032674; 2200031528; 2200039162; 2200032081; 2200039046; 2200032486; 2200032034; 2200030092; 2200030356; 2200030157; 2200030662; 2200030205; 2200039076; 2210030146; 2200032281; 2200031320; 2200033106; 2200032414; 2200032305; 2200032323; 2200039155; 2200031505; 2200031351; 2200032399; 2200030882; 2200030156; 2200033282; 2200031536; 2200032147; 2200031272; 2200039093; 2200039097; 2200039098; 2200039105; 2200039106; 2200039109; 2200039111; 2200039112; 2200032379; 2200032403; 2200032409; 2200032410; 2200039061; 2200039063; 2200039066; 2200039067; 2200039072; 2200039079; 2200039081; 2200039089; 2200031621; 2200031662; 2200031684; 2200031806; 2200031819; 2200033179; 2200033200; 2200033257; 2200033279; 2200033281; 2200033286; 2200033301; 2200031517; 2200031524; 2200031533; 2200031534; 2200031541; 2200031557; 2200031560; 2200031563; 2200031580; 2200031582; 2200031885; 2200031933; 2200031941; 2200031948; 2200031969; 2200031981; 2200032986; 2200033038; 2200033049; 2200033066; 2200033070; 2200039129; 2200039130; 2200039136; 2200039137; 2200039138; 2200039141; 2200039142; 2200039144; 2200039145; 2200031432; 2200031478; 2200031495; 2200032498; 2200032511; 2200032523; 2200031345; 2200031378; 2200031402; 2200031406; 2200031409; 2200032003; 2200032010; 2200032011; 2200032036; 2200032048; 2200032049]
SEC-07,[2200039033; 2200039038; 2200039040; 2200039045; 2200039047; 2200039054; 2200039056; 2200039058; 2200039059; 2200033240; 2200033253; 2200033254; 2200033258; 2200030417; 2200030486; 2200030506; 2200030507; 2200030509; 2200030517; 2200030518; 2200030587; 2200030599; 2200032626; 2200032653; 2200031313; 2200031314; 2200031411; 2200031459; 2200031481; 2200031482; 2200031483; 2200031573; 2200031592; 2200032077; 2200032079; 2200032131; 2200032144; 2200032156; 2200032157; 2200030711; 2200030878; 2200030944; 2200030952; 2200030962; 2200031247; 2200031256; 2200031258; 2200031264; 2200031286; 2200031305; 2200031317; 2200031064; 2200031161; 2200030079; 2200030129; 2200030140; 2200030160; 2200031768; 2200031774; 2200031810; 2200030914; 2200030917; 2200030929; 2200030976; 2200031017; 2200031025; 2200031036; 2200031049; 2200032445; 2200032455; 2200032456; 2200032462; 2200032475; 2200032485; 2200031647; 2200031699; 2200031725; 2200032776; 2200032798; 2200032800; 2200039002; 2200039023; 2200030174; 2200030248; 2200030362; 2200032248; 2200032253; 2200032271; 2200032282; 2200032283; 2200032288; 2200033268; 2200033270; 2200033292; 2200030668; 2200030714; 2200030726; 2200030728; 2200030729; 2200030736; 2200032565; 2200032583; 2200032603; 2200032616; 2200030220; 2200030378; 2200030671; 2200031627; 2200032000; 2200033166; 2200030180; 2200030259; 2200030286; 2200030307; 2200032264; 2200032389; 2200032397; 2200031071; 2200031143; 2200031208; 2200032856; 2200032912; 2200033183; 2200033204; 2200032671; 2200032685; 2200032742; 2200031851; 2200031958; 2200032040; 2200032085; 2200030786; 2200030824; 2200030864; 2200030906; 2200032612; 2200032639; 2200032640; 2200032730; 2200032182; 2200032211; 2200032224; 2200032225; 2200032230; 2200032238; 2200039150; 2200039157; 2200032844; 2200032882; 2200032927; 2200033045; 2200033084; 2200033089; 2200033090; 2200030463; 2200030583; 2200030592; 2200030594; 2200033119; 2200033142; 2200030334; 2200030344; 2200030346; 2200030375; 2200030387; 2200030390; 2200032298; 2200032299; 2200032300; 2200032307; 2200032309; 2200032318; 2200032341; 2200032353; 2200031394]
SEC-08,[2200032613; 2200039120; 2200033111; 2200030698; 2200032683; 2200033147; 2200033093; 2200031235; 2200032538; 2200032899; 2200032221; 2200032031; 2200030910; 2200030044; 2200032659; 2200039090; 2200032320; 2200032222; 2200032897; 2200030170; 2200030609; 2200090099; 2200090053; 2200090085; 2200090086; 2200090046; 2200090250; 2200090125; 2200090024; 2200090240; 2200090027; 2200090182; 2200090002; 2200090004; 2200090034; 2200090040; 2200090041; 2200090062; 2200090074; 2200090174; 2200090175; 2200090198; 2200090210; 2200090237; 2200099015; 2200090095; 2200090219; 2200099003; 2200090006; 2200090010; 2200090025; 2200090066; 2200090136; 2200090015; 2200090047; 2200090177; 2200090229; 2200090014; 2200090020; 2200090072; 2200090106; 2200090133; 2200090163; 2200090212; 2200090252; 2200090080; 2200090195; 2200090244; 2200099005; 2200090148; 2200090221; 2200090003; 2200090033; 2200090042; 2200090048; 2200090214; 2200090184; 2200040141; 2200040016; 2200040012; 2200040109; 2200040052; 2200040113; 2200040006; 2200040107; 2200040233; 2200040123; 2200040182; 2200049124; 2200049173; 2200040045; 2200040076; 2200040204; 2200040337; 2200049061; 2200040037; 2200040216; 2200049185; 2200049189; 2200040352; 2200049037; 2200049039; 2200040071; 2200040112; 2200040273]
SEC-09,[2200040022; 2200040138; 2200040249; 2200040250; 2200040065; 2200040029; 2200040087; 2200040272; 2200040157; 2200040192; 2200049040; 2200040143; 2200040144; 2200049022; 2200040254; 2200040287; 2200040315; 2200049071; 2200040158; 2200040208; 2200040301; 2200049083; 2200040211; 2200049008; 2200040266; 2200040329; 2200049068; 2200049069; 2200049053; 2200049055; 2200040283; 2200040298; 2200040095; 2200040098; 2200040179; 2200040288; 2200049091; 2200040026; 2200040106; 2200040230; 2200040300; 2200040310; 2200049131; 2200049132; 2200049134; 2200049135; 2200040328; 2200040362; 2200049154; 2200049143; 2200040101; 2200040316; 2200040014; 2200040285; 2200049155; 2200040263; 2200040333; 2200049114; 2200049159; 2200040024; 2200040243; 2200040003; 2200040018; 2200040166; 2200040235; 2200040238; 2200049148; 2200049196; 2200040038; 2200040119; 2200040128; 2200040295; 2200040341; 2200049002; 2200040067; 2200040062; 2200040066; 2200040205; 2200040196; 2200069059; 2200069023; 2200069031; 2200069032; 2200069034; 2200069036; 2200069040; 2200069041; 2200069042; 2200069044; 2200069054; 2200069060; 2200069061; 2200069064; 2200069002; 2200069006; 2200069015; 2200069016; 2200069020; 2200060021; 2200060026; 2200060030; 2200069070; 2200069073; 2200069074; 2200069076]
SEC-10,[2200069077; 2200069079; 2200060004; 2200060010; 2200069069; 2200100002; 2200100009; 2200100013; 2200100017; 2200100047; 2200100070; 2200050018; 2200050019; 2200050020; 2200050029; 2200050046; 2200050055; 2200050057; 2200100006; 2200100008; 2200100030; 2200100031; 2200100032; 2200100066; 2200100036; 2200100059; 2200100064; 2200100069; 2200100074; 2200050002; 2200050044; 2200050006; 2200050022; 2200050031; 2200050048; 2200050053; 2200100054; 2200050063; 2200100060; 2200049139; 2200032835; 2200030877; 2200049146; 2200032647; 2200031908; 2200032342; 2200080104; 2200080002; 2200080067; 2200080230; 2200080191; 2200080200; 2200080054; 2200080227; 2200080194; 2200080026; 2200089012; 2200080108; 2200080186; 2200080168; 2200080145; 2200080006; 2200080018; 2200080184; 2200080189; 2200080228; 2200080236; 2200089002; 2200089022; 2200080040; 2200080202; 2200089007; 2200080070; 2200080101; 2200080161; 2200080256; 2200080112; 2200080140; 2200080162; 2200080001; 2200080014; 2200080043; 2200080045; 2200080071; 2200080122; 2200080123; 2200080075; 2200080143; 2200080150; 2200080025; 2200080154; 2200080157; 2200080017; 2200080142; 2200080139; 2200080086; 2200080144; 2200030896; 2200032913; 2200033265; 2200030310; 2200030611; 2200030459; 2200030470; 2200032520]
